ss,task,seed,K,ok,mean_cand,regret_B5,regret_B10,regret_B25,err
6767,9914,0,3,1,3.0,0.478467237786525,0.47367446168094596,0.06698309793933854,
6767,9914,0,5,1,5.0,0.478467237786525,0.3732113915258155,0.03827274832137095,
6767,9914,0,8,1,8.0,0.478467237786525,0.20094929381801296,0.0573975457281779,
6767,9914,0,13,1,13.0,0.478467237786525,0.459319286871961,0.08133827274832095,
6767,9914,0,20,1,20.0,0.478467237786525,0.47367446168094596,0.14352859458208045,
6767,9914,0,35,1,35.0,0.478467237786525,0.08133827274832095,0.043042370919195494,
6767,9914,0,50,1,50.0,0.478467237786525,0.028687196110210422,0.023917573512388546,
6767,9914,1,1,1,1.0,0.617226209770781,0.4928224125955075,0.24401481824496551,
6767,9914,1,2,1,2.0,0.617226209770781,0.47367446168094596,0.47367446168094596,
6767,9914,1,3,1,3.0,0.617226209770781,0.0621903218337595,0.0621903218337595,
6767,9914,1,5,1,5.0,0.617226209770781,0.0621903218337595,0.04783514702477443,
6767,9914,1,8,1,8.0,0.617226209770781,0.1052558462607095,0.03827274832137095,
6767,9914,1,13,1,13.0,0.617226209770781,0.48326001389210405,0.06698309793933854,
6767,9914,1,20,1,20.0,0.617226209770781,0.478467237786525,0.4066913637416075,
6767,9914,1,50,1,50.0,0.617226209770781,0.48326001389210405,0.04783514702477443,
6767,9914,1,35,1,35.0,0.617226209770781,0.4928224125955075,0.44019448946515405,
6767,9914,2,1,1,1.0,0.48326001389210405,0.08133827274832095,0.08133827274832095,
6767,9914,2,3,1,3.0,0.48326001389210405,0.08133827274832095,0.08133827274832095,
6767,9914,2,2,1,2.0,0.48326001389210405,0.09090067145172442,0.07175272053716297,
6767,9914,2,5,1,5.0,0.48326001389210405,0.08133827274832095,0.08133827274832095,
6767,9914,2,8,1,8.0,0.48326001389210405,0.48326001389210405,0.09090067145172442,
6767,9914,2,13,1,13.0,0.48326001389210405,0.37798101412363994,0.052627923130356025,
6767,9914,2,20,1,20.0,0.48326001389210405,0.11961102106969201,0.052627923130356025,
6767,9914,2,35,1,35.0,0.48326001389210405,0.48326001389210405,0.023917573512388546,
6767,9914,2,50,1,50.0,0.48326001389210405,0.08133827274832095,0.0621903218337595,
6767,9914,3,1,1,1.0,0.1291734197730955,0.1291734197730955,0.1291734197730955,
6767,9914,3,2,1,2.0,0.1291734197730955,0.06698309793933854,0.06698309793933854,
6767,9914,3,5,1,5.0,0.1291734197730955,0.03347997221579202,0.03347997221579202,
6767,9914,3,3,1,3.0,0.1291734197730955,0.1291734197730955,0.1291734197730955,
