ss,task,seed,surrogate,mode,ok,regret,mean_cand,err
5971,43,1,tpe,adaptive,1,0.003100611564967548,1000.0,
5971,43,2,tpe,full,1,0.0018597964492720331,3358.5,
5971,43,2,tpe,restricted,1,0.02789694673908083,2000.0,
5971,43,3,tpe,full,1,0.013637556478481194,3358.5,
5971,43,2,tpe,adaptive,1,0.022939391173383172,1000.0,
5971,43,3,tpe,restricted,1,0.013018575144904454,2000.0,
5971,43,3,tpe,adaptive,1,0.016119186709872002,1000.0,
5971,43,4,tpe,full,1,0.02169857605768799,3358.5,
5971,43,4,tpe,restricted,1,0.006820204463511614,2000.0,
5971,43,4,tpe,adaptive,1,0.016119186709872002,1000.0,
5971,34536,0,tpe,full,1,0.0072801714104959725,3472.5,
5971,34536,0,tpe,restricted,1,0.006552034902805759,2000.0,
5971,34536,0,tpe,adaptive,1,0.002548477776915692,1000.0,
5971,34536,1,tpe,full,1,0.005095761887425443,3472.5,
5971,34536,1,tpe,restricted,1,0.0058238983951156564,2000.0,
5971,34536,1,tpe,adaptive,1,0.008008307918186186,1000.0,
5971,34536,2,tpe,full,1,0.0007281365076902135,3472.5,
5971,34536,2,tpe,restricted,1,0.005095761887425443,2000.0,
5971,34536,2,tpe,adaptive,1,0.002912546030760743,1000.0,
5971,34536,3,tpe,full,1,0.0018203412692254783,3472.5,
5971,34536,3,tpe,restricted,1,0.004004750792296119,2000.0,
5971,34536,4,tpe,full,1,0.006187966648960708,3472.5,
5971,34536,3,tpe,adaptive,1,0.002548477776915692,1000.0,
5971,34536,4,tpe,adaptive,1,0.006187966648960708,1000.0,
5971,34536,4,tpe,restricted,1,0.006552034902805759,2000.0,
5971,9970,0,tpe,full,1,0.1545177966311312,3851.5,
5971,9970,0,tpe,restricted,1,0.008745490330491212,2000.0,
5971,9970,0,tpe,adaptive,1,0.017490980660982425,1000.0,
5971,9970,1,tpe,full,1,0.06122196584488526,3851.5,
5971,9970,1,tpe,restricted,1,0.06413712928838222,2000.0,
5971,9970,1,tpe,adaptive,1,0.0,1000.0,
5971,9970,2,tpe,full,1,0.034985494853411625,3851.5,
5971,9970,2,tpe,adaptive,1,0.005830326886994253,1000.0,
5971,9970,2,tpe,restricted,1,0.06705582626332596,2000.0,
