ss,task,seed,surrogate,mode,ok,regret,mean_cand,over_pred,err
5965,9946,2,gp,restricted,1,0.020513180854724866,2000.0,,
5965,9946,3,tpe,full,1,0.025640017093949807,13125.5,,
5965,9946,3,tpe,restricted,1,0.015383426666587208,2000.0,,
5965,9946,3,gp,restricted,1,0.025640017093949807,2000.0,,
5965,9946,3,gp,full,1,0.020513180854724866,13125.5,-0.04958981361746952,
5965,9946,4,tpe,full,1,0.020513180854724866,13125.5,,
5965,9946,4,tpe,restricted,1,0.015383426666587208,2000.0,,
5965,9946,4,gp,full,1,0.010256590427362267,13125.5,-0.002237536706632881,
5965,9946,4,gp,restricted,1,0.0,2000.0,,
6794,145804,0,tpe,full,1,0.0027552426144189512,52433.5,,
6794,145804,0,tpe,restricted,1,0.0055104852288381245,2000.0,,
6794,145804,0,gp,restricted,1,0.0055104852288381245,2000.0,,
6794,145804,0,gp,full,1,0.008265727843257409,52433.5,0.03141154625749688,
6794,145804,1,tpe,full,1,0.011018331336398068,52433.5,,
6794,145804,1,tpe,restricted,1,0.0055104852288381245,2000.0,,
6794,145804,2,tpe,full,1,0.0055104852288381245,52433.5,,
6794,145804,1,gp,restricted,1,0.0055104852288381245,2000.0,,
6794,145804,2,tpe,restricted,1,0.0055104852288381245,2000.0,,
6794,145804,1,gp,full,1,0.0055104852288381245,52433.5,0.028324709527964304,
6794,145804,3,tpe,full,1,0.0055104852288381245,52433.5,,
6794,145804,3,tpe,restricted,1,0.0055104852288381245,2000.0,,
6794,145804,2,gp,restricted,1,0.0027552426144189512,2000.0,,
6794,145804,2,gp,full,1,0.0055104852288381245,52433.5,0.01379998902828776,
6794,145804,4,tpe,full,1,0.0027552426144189512,52433.5,,
6794,145804,4,tpe,restricted,1,0.011018331336398068,2000.0,,
6794,145804,3,gp,restricted,1,0.008265727843257409,2000.0,,
6794,145804,3,gp,full,1,0.0055104852288381245,52433.5,0.029168002889642098,
6794,3,0,tpe,full,1,0.0032606293598409497,55445.5,,
6794,145804,4,gp,restricted,1,0.0055104852288381245,2000.0,,
6794,145804,4,gp,full,1,0.008265727843257409,52433.5,-0.04256588232185961,
6794,3,0,tpe,restricted,1,0.00261017132897734,2000.0,,
6794,3,0,gp,restricted,1,0.0013050856644885034,2000.0,,
6794,3,1,tpe,restricted,1,0.001957628496732977,2000.0,,
6794,3,1,tpe,full,1,0.00261017132897734,55445.5,,
6794,3,0,gp,full,1,0.001957628496732977,55445.5,-0.005623253144374623,
