ss,task,seed,K,regret,mean_cand
6767,145804,2,8000,0.02399904353304183,8000.0
6767,145804,2,16000,0.019199847946278492,16000.0
6767,145804,2,full,0.011200166768597808,45088.5
6767,145804,3,50,0.01759960515081982,50.0
6767,145804,3,100,0.015999362355361146,100.0
6767,145804,3,250,0.02399904353304183,250.0
6767,145804,3,500,0.011200166768597808,500.0
6767,145804,3,1000,0.015999362355361146,1000.0
6767,145804,3,2000,0.01759960515081982,2000.0
6767,145804,3,4000,0.0047991955867633385,4000.0
6767,145804,3,8000,0.009599923973139024,8000.0
6767,145804,3,16000,0.011200166768597808,16000.0
6767,145804,3,full,0.015999362355361146,45088.5
6767,145804,4,50,0.02399904353304183,50.0
6767,145804,4,100,0.014399119559902473,100.0
6767,145804,4,250,0.01280040956405648,250.0
6767,145804,4,500,0.01280040956405648,500.0
6767,145804,4,1000,0.02399904353304183,1000.0
6767,145804,4,2000,0.020800090741737165,2000.0
6767,145804,4,4000,0.009599923973139024,4000.0
6767,145804,4,8000,0.02399904353304183,8000.0
6767,145804,4,16000,0.0032004855909173457,16000.0
6767,145804,4,full,0.0047991955867633385,45088.5
6767,146064,0,50,0.0,50.0
6767,146064,0,100,0.0,100.0
6767,146064,0,250,0.0,250.0
6767,146064,0,500,0.0,500.0
6767,146064,0,1000,0.1009183359433049,1000.0
6767,146064,0,2000,0.4311928165419491,2000.0
6767,146064,0,4000,0.048929741604307964,4000.0
6767,146064,0,8000,0.4311928165419491,8000.0
6767,146064,0,16000,0.012232010324265685,16000.0
6767,146064,0,full,0.0,46051.5
6767,146064,1,50,0.0,50.0
6767,146064,1,100,0.0,100.0
6767,146064,1,250,0.0,250.0
6767,146064,1,500,0.0,500.0
6767,146064,1,1000,0.0,1000.0
6767,146064,1,2000,0.0,2000.0
6767,146064,1,4000,0.0,4000.0
6767,146064,1,8000,0.0,8000.0
6767,146064,1,16000,0.0,16000.0
6767,146064,1,full,0.0,46051.5
6767,146064,2,50,0.0,50.0
6767,146064,2,100,0.0,100.0
6767,146064,2,250,0.0,250.0
6767,146064,2,500,0.0,500.0
6767,146064,2,1000,0.0,1000.0
6767,146064,2,2000,0.0,2000.0
