ss,task,seed,step,U,K,gap_norm,retains_top,sel_obj_rank,reg_restrict,reg_full
6767,146064,0,19,46047,1000,0.10103,0,1.0,0.0,0.015290863058954773
6767,146064,0,20,46046,1000,0.03537,0,0.8812,0.0,0.015290863058954773
6767,146064,0,21,46045,1000,0.03633,0,1.0,0.0,0.015290863058954773
6767,146064,0,22,46044,1000,0.08905,0,0.3355,0.0,0.015290863058954773
6767,146064,0,23,46043,1000,0.11412,0,1.0,0.0,0.015290863058954773
6767,146064,0,24,46042,1000,0.07368,0,0.3532,0.0,0.015290863058954773
6767,145804,3,5,45098,1000,0.01503,0,0.0971,0.020800090741737165,0.015999362355361146
6767,145804,3,6,45097,1000,0.03885,0,0.7492,0.020800090741737165,0.015999362355361146
6767,145804,3,7,45096,1000,0.03598,0,0.407,0.020800090741737165,0.015999362355361146
6767,145804,3,8,45095,1006,0.01991,0,0.966,0.020800090741737165,0.015999362355361146
6767,145804,3,9,45094,1000,0.03104,0,0.8044,0.020800090741737165,0.015999362355361146
6767,145804,3,10,45093,1000,0.00864,1,0.5268,0.020800090741737165,0.015999362355361146
6767,145804,3,11,45092,1000,0.03258,0,0.0971,0.020800090741737165,0.015999362355361146
6767,145804,3,12,45091,1050,0.05753,0,0.6552,0.020800090741737165,0.015999362355361146
6767,145804,3,13,45090,1073,0.03092,0,0.407,0.020800090741737165,0.015999362355361146
6767,145804,3,14,45089,1198,0.03292,0,0.5569,0.020800090741737165,0.015999362355361146
6767,145804,3,15,45088,1205,0.07662,0,0.0971,0.020800090741737165,0.015999362355361146
6767,145804,3,16,45087,1145,0.02406,0,0.5235,0.020800090741737165,0.015999362355361146
6767,145804,3,17,45086,1123,0.04467,0,0.6038,0.020800090741737165,0.015999362355361146
6767,145804,3,18,45085,1246,0.0408,0,0.8232,0.020800090741737165,0.015999362355361146
6767,145804,3,19,45084,1254,0.07831,0,0.963,0.020800090741737165,0.015999362355361146
6767,145804,3,20,45083,1350,0.00612,1,0.8604,0.020800090741737165,0.015999362355361146
6767,145804,3,21,45082,1256,0.04369,0,0.8373,0.020800090741737165,0.015999362355361146
6767,145804,3,22,45081,1296,0.06366,0,0.8373,0.020800090741737165,0.015999362355361146
6767,145804,3,23,45080,1196,0.09383,0,0.097,0.020800090741737165,0.015999362355361146
6767,145804,3,24,45079,1311,0.05127,0,0.407,0.020800090741737165,0.015999362355361146
6767,145804,4,5,45098,1000,0.01239,0,0.7887,0.02399904353304183,0.0047991955867633385
6767,145804,4,6,45097,1000,0.0399,0,0.9596,0.02399904353304183,0.0047991955867633385
6767,145804,4,7,45096,1000,0.00353,1,0.9596,0.02399904353304183,0.0047991955867633385
6767,145804,4,8,45095,1000,0.02305,0,0.9596,0.02399904353304183,0.0047991955867633385
6767,145804,4,9,45094,1000,0.01166,0,0.6784,0.02399904353304183,0.0047991955867633385
6767,145804,4,10,45093,1100,0.00681,1,0.407,0.02399904353304183,0.0047991955867633385
6767,145804,4,11,45092,1079,0.04834,0,0.9596,0.02399904353304183,0.0047991955867633385
6767,145804,4,12,45091,1151,0.01117,0,0.7184,0.02399904353304183,0.0047991955867633385
6767,145804,4,13,45090,1246,0.01851,0,0.6305,0.02399904353304183,0.0047991955867633385
6767,145804,4,14,45089,1305,0.01102,0,0.831,0.02399904353304183,0.0047991955867633385
6767,145804,4,15,45088,1353,0.00632,1,0.9596,0.02399904353304183,0.0047991955867633385
6767,145804,4,16,45087,1472,0.00798,1,0.4071,0.02399904353304183,0.0047991955867633385
6767,145804,4,17,45086,1124,0.01771,0,0.9596,0.02399904353304183,0.0047991955867633385
6767,145804,4,18,45085,1167,0.01864,0,0.806,0.02399904353304183,0.0047991955867633385
6767,145804,4,19,45084,1242,0.02163,0,0.9596,0.02399904353304183,0.0047991955867633385
6767,145804,4,20,45083,1213,0.00913,1,0.8427,0.02399904353304183,0.0047991955867633385
6767,145804,4,21,45082,1291,0.0664,0,0.6894,0.02399904353304183,0.0047991955867633385
6767,145804,4,22,45081,1340,0.05458,0,0.7613,0.02399904353304183,0.0047991955867633385
6767,145804,4,23,45080,1359,0.01071,0,0.9596,0.02399904353304183,0.0047991955867633385
6767,145804,4,24,45079,1349,0.0227,0,0.7506,0.02399904353304183,0.0047991955867633385
6767,146064,1,5,46061,1000,0.01843,0,0.3355,0.0,0.0
6767,146064,1,6,46060,1000,0.01268,0,0.3355,0.0,0.0
6767,146064,1,7,46059,1000,0.00708,1,0.3355,0.0,0.0
6767,146064,1,8,46058,1000,0.00517,1,0.8812,0.0,0.0
6767,146064,1,9,46057,1000,0.00733,1,0.8812,0.0,0.0
6767,146064,1,10,46056,1000,0.00669,1,0.8812,0.0,0.0
6767,146064,1,11,46055,1000,0.00554,1,0.8812,0.0,0.0
6767,146064,1,12,46054,1000,0.00047,1,0.8812,0.0,0.0
6767,146064,1,13,46053,1000,0.00664,1,0.0256,0.0,0.0
6767,146064,1,14,46052,1000,0.00396,1,1.0,0.0,0.0
6767,146064,1,15,46051,1000,0.03192,0,0.9404,0.0,0.0
6767,146064,1,16,46050,1000,0.06416,0,0.8812,0.0,0.0
6767,146064,1,17,46049,1000,0.06957,0,0.3466,0.0,0.0
6767,146064,1,18,46048,1000,0.08984,0,0.0151,0.0,0.0
6767,146064,1,19,46047,1000,0.013,0,1.0,0.0,0.0
6767,146064,1,20,46046,1000,0.05707,0,1.0,0.0,0.0
6767,146064,1,21,46045,1000,0.03963,0,1.0,0.0,0.0
6767,146064,1,22,46044,1000,0.05362,0,0.9063,0.0,0.0
6767,146064,1,23,46043,1000,0.05165,0,1.0,0.0,0.0
6767,146064,1,24,46042,1000,0.03488,0,0.3355,0.0,0.0
6767,146064,2,5,46061,1000,0.03705,0,0.3355,0.0,0.0
6767,146064,2,6,46060,1114,0.01163,0,0.1785,0.0,0.0
6767,146064,2,7,46059,1088,0.04571,0,1.0,0.0,0.0
6767,146064,2,8,46058,1052,0.03406,0,0.8812,0.0,0.0
6767,146064,2,9,46057,1220,0.0454,0,0.9019,0.0,0.0
6767,146064,2,10,46056,1245,0.00314,1,1.0,0.0,0.0
6767,146064,2,11,46055,1275,0.0,1,0.3526,0.0,0.0
6767,146064,2,12,46054,1335,0.08709,0,0.9063,0.0,0.0
6767,146064,2,13,46053,1247,0.06994,0,0.9354,0.0,0.0
6767,146064,2,14,46052,1290,0.0,1,1.0,0.0,0.0
6767,146064,2,15,46051,1335,0.00984,1,0.3355,0.0,0.0
6767,146064,2,16,46050,1314,0.02528,0,0.0083,0.0,0.0
6767,146064,2,17,46049,1328,0.04175,0,0.3355,0.0,0.0
6767,146064,2,18,46048,1161,0.04452,0,1.0,0.0,0.0
6767,146064,2,19,46047,1164,0.09582,0,0.8813,0.0,0.0
6767,146064,2,20,46046,1148,0.00594,1,1.0,0.0,0.0
6767,146064,2,21,46045,1234,0.0131,0,1.0,0.0,0.0
6767,146064,2,22,46044,1194,0.06854,0,1.0,0.0,0.0
6767,146064,2,23,46043,1221,0.0724,0,0.0102,0.0,0.0
6767,146064,2,24,46042,1310,0.07187,0,0.9169,0.0,0.0
